organization,contact,title,email,vertical,notes
IUPAT DISTRICT COUNCIL 21 WELFARE FUND,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $100,445,675; source LMS score 72/100."
JEWISH FEDERATION OF GREATER PITTSBURGH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $79,693,583; source LMS score 72/100."
AMERICAN COLLEGE OF PHYSICIANS INC,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $75,526,136; source LMS score 72/100."
JEWISH FEDERATION OF GREATER PHILADELPHIA,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $73,033,283; source LMS score 72/100."
ROSEMONT COLLEGE OF THE HOLY CHILD JESUS,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bryn Mawr, PA; annual revenue $65,984,842; source LMS score 72/100."
EMPLOYMENT PARTNERS BENEFITS FUND,,,,Workforce / training,"assets >$50M; revenue >$25M; priority segment. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Bridgeville, PA; annual revenue $59,445,779; source LMS score 72/100."
CHESNUT HILL COLLEGE OF THE SISTERS OF ST JOSEPH,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $53,723,823; source LMS score 72/100."
MOORE COLLEGE OF ART AND DESIGN,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $44,217,975; source LMS score 72/100."
LABORERS DIST COUNCIL BUILD & CONSTRUCTION HEALTH & WELFARE,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $39,153,115; source LMS score 72/100."
PHILADELPHIA COLLEGE OF OSTEOPATHIC MEDICINE FOUNDATION,,,,Association / member organization,"assets >$50M; revenue >$25M; priority segment. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $35,022,022; source LMS score 72/100."
NORTHEASTERN JOINT APPRENTICESHIP AND TRAINING TRUST FUND,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: training; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Douglassville, PA; annual revenue $11,611,748; source LMS score 72/100."
OPERATING ENGINEERS JOINT APPRENTICESHIP TRAINING FUND,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: training; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Ft Washington, PA; annual revenue $9,903,189; source LMS score 72/100."
ELECTRICAL WORKERS JOINT APPRENTICE AND TRAINING TRUST FUND,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: training; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Philadelphia, PA; annual revenue $7,311,209; source LMS score 72/100."
STEAMFITTERS LOCAL UNION NO 449 JOINT APPRENTICESHIP & TRAINING,,,,Workforce / training,"assets >$10M; revenue >$5M; priority segment; keyword: training; keyword: apprentice. Likely motion: workforce training at scale; grant/outcomes reporting. Brightspace angle: Training cohorts, partner/employer visibility, outcomes tracking, and grant reporting. Context: Pittsburgh, PA; annual revenue $6,821,416; source LMS score 72/100."
PENNSYLVANIA ASSOCIATION OF AREA AGENCY ON AGING DIRECTORS INC,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $61,989,721; source LMS score 70/100."
VISITING NURSE ASSOCIATION OF SAINT LUKES-HOME HEALTH-HOSPICE INC,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Allentown, PA; annual revenue $40,364,292; source LMS score 70/100."
ONCOLOGY NURSING SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $31,078,303; source LMS score 70/100."
DELAWARE COUNTY CHRISTIAN SCHOOL SOCIETY,,,,Association / member organization,"assets >$10M; revenue >$25M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Newtown Sq, PA; annual revenue $28,049,364; source LMS score 70/100."
LOYAL CHRISTIAN BENEFIT ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Erie, PA; annual revenue $22,872,426; source LMS score 70/100."
NORTHWESTERN RURAL ELECTRIC COOPERATIVE ASSOCIATION INC,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Cambridg Spgs, PA; annual revenue $22,088,511; source LMS score 70/100."
HISTORICAL SOCIETY OF WESTERN PENNSYLVANIA,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $22,075,741; source LMS score 70/100."
PENNSYLVANIA PROFESSIONAL LIABILITY JOINT UNDERWRITING ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Blue Bell, PA; annual revenue $20,476,592; source LMS score 70/100."
AMERICAN PHILOSOPHICAL SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $20,391,804; source LMS score 70/100."
PENNSYLVANIA PROPERTY AND CASUALTY INSURANCE GUARANTY ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $19,774,867; source LMS score 70/100."
SOCIETY FOR INDUSTRIAL AND APPLIED MATHEMATICS,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $17,724,481; source LMS score 70/100."
NORRISTOWN ZOOLOGICAL SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Norristown, PA; annual revenue $16,114,399; source LMS score 70/100."
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $15,625,710; source LMS score 70/100."
PENNSYLVANIA MEDICAL SOCIETY,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Mechanicsburg, PA; annual revenue $15,505,656; source LMS score 70/100."
ASSOCIATION OF THEOLOGICAL SCHOOLS,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $14,584,370; source LMS score 70/100."
THE ASSOCIATION FOR FRONTOTEMPORAL DEGENERATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Kng Of Prussa, PA; annual revenue $14,420,554; source LMS score 70/100."
PENNSYLVANIA AUTOMOTIVE ASSOCIATION FOUNDATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $14,110,761; source LMS score 70/100."
HOSPITAL & HEALTHSYSTEM ASSOCIATION OF PENNSYLVANIA INC,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $14,014,050; source LMS score 70/100."
PENN STATE ALUMNI ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: University Park, PA; annual revenue $10,864,027; source LMS score 70/100."
ROAMINGWOOD SEWER AND WATER ASSOCIATION,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lake Ariel, PA; annual revenue $10,620,298; source LMS score 70/100."
MUTUAL BENEFICIAL ASSOCIATION INC,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Berwyn, PA; annual revenue $10,092,252; source LMS score 70/100."
UNITED ASSOCIATION OF JOURNEYMEN & APPRENTICES OF THE PLUMBING & PIPE,,,,Association / member organization,"assets >$10M; revenue >$5M; priority segment; keyword: association; keyword: apprentice. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $7,987,781; source LMS score 70/100."
MONTGOMERY COUNTY SOCIETY FOR THE PREVENTION OF CRUELTY TO ANIMALS,,,,Association / member organization,"assets >$50M; revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Conshohocken, PA; annual revenue $6,961,511; source LMS score 70/100."
