organization,contact,title,email,vertical,notes
Ohio Association of Community Health Centers,,,,Target account,"Silver-tier target account. annual revenue $5,653,151. Owner: Pat Ducoffe."
FlightSafety International,,,,Target account,"Silver-tier target account. annual revenue $876,415,019; 100,000 learners; last activity 16/12/2024. Owner: Pat Ducoffe."
Pennsylvania State Nurses Association,,,,Target account,"Silver-tier target account. Pennsylvania; annual revenue $3,400,000; last activity 23/01/2026. Owner: Pat Ducoffe."
Training Camp,,,,Target account,"Silver-tier target account. annual revenue $35,081,000; 40,000 learners; last activity 13/02/2026. Owner: Pat Ducoffe."
Tennessee Hospital Association,,,,Target account,"Silver-tier target account. Tennessee; annual revenue $6,245,405; 300,000 learners; last activity 19/02/2026. Owner: Pat Ducoffe."
Tennessee Medical Association,,,,Target account,"Silver-tier target account. annual revenue $3,505,104; 9,000 active users/members; last activity 30/06/2025. Owner: Pat Ducoffe."
Tennessee Bankers Association,,,,Target account,"Silver-tier target account. annual revenue $5,534,000; last activity 16/08/2021. Owner: Pat Ducoffe."
College and University Professional Association for Human Resources,,,,Target account,"Silver-tier target account. annual revenue $10,000,000; 6,000 active users/members; last activity 29/01/2026. Owner: Pat Ducoffe."
National Funeral Directors Association,,,,Target account,"Silver-tier target account. Wisconsin; annual revenue $9,760,505; 20,000 active users/members; last activity 13/06/2025. Owner: Pat Ducoffe."
Dynamic Works Institute,,,,Target account,"Silver-tier target account. annual revenue $43,930,000; 30,000 learners; last activity 08/09/2025. Owner: Pat Ducoffe."
Kentucky Hospital Association,,,,Target account,"Bronze-tier target account. Kentucky; annual revenue $8,254,611; last activity 07/07/2025. Owner: Pat Ducoffe."
Kentucky Nurses Association,,,,Target account,"Bronze-tier target account. annual revenue $304,152; 5,000 active users/members; 100,000 learners. Owner: Pat Ducoffe."
Kentucky Bankers Association,,,,Target account,"Bronze-tier target account. annual revenue $4,519,193. Owner: Pat Ducoffe."
Kentucky Medical Association,,,,Target account,"Bronze-tier target account. annual revenue $2,619,746; 5,000 active users/members; last activity 17/02/2022. Owner: Pat Ducoffe."
Kentucky Bar Association,,,,Target account,"Bronze-tier target account. annual revenue $7,140,746; 19,000 active users/members; last activity 19/08/2024. Owner: Pat Ducoffe."
MedCertify,,,,Target account,"Bronze-tier target account. annual revenue $5,482,000; 15,000 learners; last activity 30/10/2025. Owner: Pat Ducoffe."
American Society of Employers,,,,Target account,"Bronze-tier target account. Michigan; annual revenue $10,800,000; last activity 19/02/2026. Owner: Pat Ducoffe."
Health Care Association of Michigan,,,,Target account,"Bronze-tier target account. annual revenue $3,019,621; last activity 25/03/2021. Owner: Pat Ducoffe."
Michigan Dental Association,,,,Target account,"Bronze-tier target account. annual revenue $0; 6,000 active users/members; last activity 19/02/2026. Owner: Pat Ducoffe."
Michigan Health & Hospital Association,,,,Target account,"Bronze-tier target account. annual revenue $107,800,000; 100,000 learners; last activity 12/02/2026. Owner: Pat Ducoffe."
Michigan Bankers Association,,,,Target account,"Bronze-tier target account. annual revenue $3,559,606; last activity 10/03/2025. Owner: Pat Ducoffe."
Michigan Association of Certified Public Accountants,,,,Target account,"Bronze-tier target account. annual revenue $8,489,792; 18,000 active users/members; last activity 14/04/2025. Owner: Pat Ducoffe."
American Board of Emergency Medicine,,,,Target account,"Bronze-tier target account. annual revenue $18,669,080; 40,000 active users/members; 30,000 learners; last activity 21/04/2025. Owner: Pat Ducoffe."
BetterInvesting (National Association of Investors Corporation),,,,Target account,"Bronze-tier target account. annual revenue $5,000,000; 20,000 active users/members; last activity 07/11/2025. Owner: Pat Ducoffe."
Michigan State Medical Society,,,,Target account,"Bronze-tier target account. annual revenue $4,142,000; 15,000 active users/members; last activity 26/11/2024. Owner: Pat Ducoffe."
National Truck Equipment Association,,,,Target account,"Bronze-tier target account. 2,000 active users/members. Owner: Pat Ducoffe."
ProTrainings,,,,Target account,"Bronze-tier target account. annual revenue $5,000,000; 500,000 learners. Owner: Pat Ducoffe."
Advanced Textiles Association,,,,Target account,"Bronze-tier target account. Minnesota; annual revenue $8,400,000; 4,500 active users/members; last activity 04/03/2025. Owner: Pat Ducoffe."
Minnesota Association for Children's Mental Health,,,,Target account,"Bronze-tier target account. annual revenue $13,296,000; 2,000 active users/members. Owner: Pat Ducoffe."
Wilson Learning Corporation,,,,Target account,"Bronze-tier target account. annual revenue $12,040,858; last activity 05/11/2025. Owner: Pat Ducoffe."
Minnesota State Bar Association,,,,Target account,"Bronze-tier target account. annual revenue $7,100,000; 14,000 active users/members; last activity 19/08/2021. Owner: Pat Ducoffe."
Ampact,,,,Target account,"Bronze-tier target account. annual revenue $66,000,000; last activity 03/07/2025. Owner: Pat Ducoffe."
Minnesota Society of Certified Public Accountants,,,,Target account,"Bronze-tier target account. annual revenue $6,000,000; 8,500 active users/members; last activity 09/04/2025. Owner: Pat Ducoffe."
Minnesota Medical Association,,,,Target account,"Bronze-tier target account. annual revenue $4,200,000; 10,000 active users/members; last activity 27/01/2026. Owner: Pat Ducoffe."
Ohio Bankers League,,,,Target account,"Bronze-tier target account. Ohio; annual revenue $3,129,157; last activity 15/07/2025. Owner: Pat Ducoffe."
Ohio Manufacturers' Association,,,,Target account,"Bronze-tier target account. annual revenue $2,852,211; last activity 20/03/2024. Owner: Pat Ducoffe."
Ohio Pharmacists Association,,,,Target account,"Bronze-tier target account. annual revenue $1,310,000; 4,000 active users/members. Owner: Pat Ducoffe."
The National Board of Boiler and Pressure Vessel Inspectors,,,,Target account,"Bronze-tier target account. annual revenue $9,574,035; last activity 17/11/2023. Owner: Pat Ducoffe."
Women In Manufacturing Association,,,,Target account,"Bronze-tier target account. annual revenue $4,000,000; 28,000 active users/members; last activity 21/08/2025. Owner: Pat Ducoffe."
The Risk Management Association,,,,Target account,"Bronze-tier target account. Pennsylvania; annual revenue $26,733,952; 2,500 active users/members; last activity 07/10/2025. Owner: Pat Ducoffe."
Pennsylvania Health Care Association,,,,Target account,"Bronze-tier target account. annual revenue $2,582,692; last activity 29/05/2020. Owner: Pat Ducoffe."
Society of Cable Telecommunications Engineers,,,,Target account,"Bronze-tier target account. annual revenue $15,083,704; 20,000 active users/members; last activity 19/08/2024. Owner: Pat Ducoffe."
Philadelphia Bar Association,,,,Target account,"Bronze-tier target account. annual revenue $4,554,336; 12,000 active users/members; last activity 18/12/2024. Owner: Pat Ducoffe."
Pennsylvannia Institute of Certified Public Accountants,,,,Target account,"Bronze-tier target account. annual revenue $6,439,496; last activity 15/04/2025. Owner: Pat Ducoffe."
Association of Independent Mortgage Experts,,,,Target account,"Bronze-tier target account. annual revenue $1,318,000; 50,000 active users/members. Owner: Pat Ducoffe."
Richardson,,,,Target account,"Bronze-tier target account. annual revenue $175,000,000; 300,000 learners; last activity 30/09/2025. Owner: Pat Ducoffe."
"Protech Professional Technical Services, Inc.",,,,Target account,"Bronze-tier target account. annual revenue $10,567,000; 25,000 learners; last activity 09/06/2025. Owner: Pat Ducoffe."
McKissock,,,,Target account,"Bronze-tier target account. annual revenue $3,689,532; last activity 30/10/2025. Owner: Pat Ducoffe."
Pennsylvania Medical Society,,,,Target account,"Bronze-tier target account. annual revenue $8,000,000; 10,000 active users/members; last activity 01/04/2026. Owner: Pat Ducoffe."
Pennsylvania Bar Association,,,,Target account,"Bronze-tier target account. annual revenue $10,000,000; 27,000 active users/members; last activity 08/04/2026. Owner: Pat Ducoffe."
American Board of Surgery,,,,Target account,"Bronze-tier target account. annual revenue $17,000,000; 34,000 active users/members; last activity 11/08/2025. Owner: Pat Ducoffe."
Pennsylvania Institute of Certified Public Accountants,,,,Target account,"Bronze-tier target account. annual revenue $6,200,000; 20,000 active users/members; last activity 24/03/2025. Owner: Pat Ducoffe."
Tennessee Health Care Association,,,,Target account,Bronze-tier target account. Tennessee; annual revenue $0. Owner: Pat Ducoffe.
National Association of State Boards of Accountancy,,,,Target account,"Bronze-tier target account. annual revenue $28,069,000; last activity 25/07/2025. Owner: Pat Ducoffe."
American Board of Pediatric Dentistry,,,,Target account,"Bronze-tier target account. annual revenue $4,300,000; 9,000 active users/members; last activity 10/11/2025. Owner: Pat Ducoffe."
American Academy Of Emergency Medicine,,,,Target account,"Bronze-tier target account. Wisconsin; annual revenue $3,389,162; 8,000 active users/members; last activity 30/10/2025. Owner: Pat Ducoffe."
Credit Union Executives Society,,,,Target account,"Bronze-tier target account. annual revenue $12,286,357; 20,000 active users/members; last activity 12/01/2026. Owner: Pat Ducoffe."
National Association Of Tax Professionals,,,,Target account,"Bronze-tier target account. annual revenue $9,000,000; 23,000 active users/members; last activity 09/07/2025. Owner: Pat Ducoffe."
World Council of Credit Unions (WOCCU),,,,Target account,"Bronze-tier target account. annual revenue $10,264,860; last activity 13/08/2025. Owner: Pat Ducoffe."
Credit Union National Association,,,,Target account,"Bronze-tier target account. annual revenue $57,298,433; last activity 19/11/2025. Owner: Pat Ducoffe."
